Customer_ID,Age,City,Annual_Income,Purchase_Count,Gender_Female,Gender_Male
101,-1.618379953791125,Mumbai,-0.47548904385638957,-0.3701856332081874,0,1
102,-0.31789606235182843,Pune,-0.3240594120549916,-0.24105110999602902,1,0
103,-0.02889964203198478,Mumbai,-0.40482188234907057,-0.327140792137468,1,0
104,1.2715842494073117,Delhi,-0.17262978025359368,-0.15496142785459008,0,1
105,-1.0403871131514377,Pune,-0.2584399049410525,-0.4132304742789069,1,0
106,2.2830717205267645,Mumbai,-0.021200148452195713,-0.06887174571315113,0,1
107,0.6935914087676244,Delhi,-0.10196261874627463,-0.19800626892530956,0,1
108,0.2600967782878589,Pune,-0.2735828681211923,-0.2840959510667485,1,0
109,-0.02889964203198478,Mumbai,-0.34425002962851137,-0.3701856332081874,1,0
110,-0.751390692831594,Delhi,-0.21301101540063314,-0.1119165867838706,0,1
111,-1.3293835334712814,Pune,-0.4351078087093501,-0.4562753153496264,1,0
112,-0.02889964203198478,Mumbai,3.714064102648954,3.7190742685101625,0,1
113,-0.02889964203198478,Delhi,-0.2432969417609127,-0.24105110999602902,1,0
114,1.12708603924739,Pune,-0.1322485451065542,-0.15496142785459008,0,1
115,-0.4623942725117503,Mumbai,-0.31396410326823176,-0.327140792137468,1,0
